symbol,average_volume
RGLD,814469.2
VRRM,810700.2
CVAC,810261.8
CRNT,806662.0
CSIQ,800576.7
CBRL,797210.8
TVGN,796381.6
INVA,795051.8
SNCY,784488.8888888889
VERX,776344.4444444445
CIBR,772959.4
MRUS,772012.8
VIRT,768318.7
PECO,766515.0
WERN,765437.0
TSEM,764531.6
CDXS,762860.8
LOOP,761980.4
VITL,761826.5
ALGN,760779.7
HYPR,759698.5
GLNG,758882.1
UCB,758253.6
SNBR,756355.1
GDYN,744081.3
SPTN,733860.6
BOTZ,730236.4
BYRN,729429.0
NIU,728985.5
TXRH,725262.7
FROG,719752.9
NTCT,719557.8
NBIX,719317.3
APPN,716569.7
CARG,712167.2
CDW,711500.9
NAMS,710565.0
INTA,709262.5
FNGR,707703.4
MIDD,706937.7
ARAY,706058.3
RDNT,705341.8
NESR,705252.2
SUPN,704470.2
TRIN,699890.2
LIF,699458.6
OSS,699296.5
HQY,697042.4
TCBI,693569.1
MRCY,689235.5
MLYS,689147.7
IAS,688803.5
COKE,688275.0
VYNE,686746.0
IOBT,684380.4
AIRS,681430.9
TTAN,680552.0
LPLA,680192.3
POOL,680063.5
PLL,679769.3
ACRS,677198.5
TSMX,675322.8
STKL,674081.2
ACIW,673881.9
MANH,672784.9
DCTH,672125.2
WTW,667672.6
PRDO,665612.3
IAC,664982.4
SMLR,663797.7
CCCM,663444.3
CFFN,662559.8
APGE,661940.5
BRKL,659529.1
WSBC,658805.9
CORT,658079.4
SBAC,656170.7
NVDU,650745.1
WGS,649461.6
NVX,647504.1
WAFD,647002.9
ABEO,645319.1
EXFY,645106.2
SSP,643623.4
SANM,642787.7
RRR,642540.1
PTGX,635747.7
DOMO,634575.6
AGIO,633869.6
CLMT,624739.4
OSUR,624479.0
RBBN,622141.7
CCOI,621187.0
RDZN,616788.0
DOX,616527.2
CMPO,616382.1
JAZZ,616304.6
GCT,614764.7
SBCF,612263.3
AXSM,612205.4
VFF,611816.2
HRMY,609349.5
BUSE,609247.0
HEPS,607422.2
WGMI,604483.4
OCSL,602820.6
DAPP,602077.9
FWRG,601905.9
CHKP,599667.4
WING,598595.7
AXON,598006.0
SKYT,597323.7
ABUS,596249.5
VRSN,594292.4
NYMT,593538.2
EGBN,589505.4
OGI,589194.0
COCO,585547.3
AVT,584303.6
BNTX,584301.5
FFIN,584103.2
ANGI,582244.9
MRTN,579562.4
LIVN,579025.6
NTES,576126.7
