Date,NormalizedPrice,Market
2024-07-01,341.1949185151525,US Indicators
2024-08-01,338.8295774753312,US Indicators
2024-09-01,341.8094336076603,US Indicators
2024-10-01,337.59100056905635,US Indicators
2024-11-01,351.5269527893599,US Indicators
2024-12-01,314.07903364504784,US Indicators
2025-01-01,322.520926351358,US Indicators
2025-02-01,320.0269483252354,US Indicators
2025-03-01,310.87675697791684,US Indicators
2025-04-01,298.9421567324341,US Indicators
2025-05-01,312.88896932367044,US Indicators
2025-06-01,330.3637687238318,US Indicators
2025-07-01,348.9096625665287,US Indicators
2015-08-01,100.0,US Bonds
2015-09-01,99.86907280164951,US Bonds
2015-10-01,100.41177687651285,US Bonds
2015-11-01,99.43952664949614,US Bonds
2015-12-01,97.97279843012763,US Bonds
2016-01-01,100.48002427681917,US Bonds
2016-02-01,101.97498847143166,US Bonds
2016-03-01,103.074900019432,US Bonds
2016-04-01,103.87716736275881,US Bonds
2016-05-01,103.9440671491905,US Bonds
2016-06-01,107.58719881855043,US Bonds
2016-07-01,108.72343341489464,US Bonds
2016-08-01,108.5540296484937,US Bonds
2016-09-01,108.73276174633648,US Bonds
2016-10-01,106.8594425447031,US Bonds
2016-11-01,103.09346741249607,US Bonds
2016-12-01,103.1718439512015,US Bonds
2017-01-01,104.46856094266496,US Bonds
2017-02-01,105.32056670144848,US Bonds
2017-03-01,105.08734798329552,US Bonds
2017-04-01,106.1531400658013,US Bonds
2017-05-01,107.10703957079588,US Bonds
2017-06-01,106.91597194316093,US Bonds
2017-07-01,107.29063858280895,US Bonds
2017-08-01,108.84739597496517,US Bonds
2017-09-01,107.83804138392327,US Bonds
2017-10-01,107.93513601707997,US Bonds
2017-11-01,107.92469615927939,US Bonds
2017-12-01,108.43049087567009,US Bonds
2018-01-01,107.36844358497548,US Bonds
2018-02-01,105.56765237803083,US Bonds
2018-03-01,106.71051134698071,US Bonds
2018-04-01,105.87439196563477,US Bonds
2018-05-01,106.56668500006008,US Bonds
2018-06-01,106.99046203003246,US Bonds
2018-07-01,106.83942335574332,US Bonds
2018-08-01,107.78106243709638,US Bonds
2018-09-01,106.6729191610934,US Bonds
2018-10-01,104.9366231631639,US Bonds
2018-11-01,105.64435992937393,US Bonds
2018-12-01,106.96147400786143,US Bonds
2019-01-01,109.69603367642972,US Bonds
2019-02-01,109.32923877438523,US Bonds
2019-03-01,112.38218311088806,US Bonds
2019-04-01,112.1505096674571,US Bonds
2019-05-01,114.69665525384478,US Bonds
2019-06-01,116.32358379360943,US Bonds
